EMB-145XR,2,55,NULL,Fixed wing multi engine,Turbo-fan,EMBRAER
A320-214,2,182,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS INDUSTRIE
EMB-145LR,2,55,NULL,Fixed wing multi engine,Turbo-fan,EMBRAER
737-824,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
767-332,2,330,NULL,Fixed wing multi engine,Turbo-fan,BOEING
757-224,2,178,NULL,Fixed wing multi engine,Turbo-jet,BOEING
CL-600-2D24,2,95,NULL,Fixed wing multi engine,Turbo-fan,BOMBARDIER INC
737-724,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-524,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
767-3P6,2,290,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A321-211,2,199,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS
737-76N,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
ERJ 190-100 IGW,2,20,NULL,Fixed wing multi engine,Turbo-fan,EMBRAER
737-7H4,2,140,NULL,Fixed wing multi engine,Turbo-fan,BOEING
150,1,2,90,Fixed wing single engine,Reciprocating,CESSNA
421C,2,8,90,Fixed wing multi engine,Reciprocating,CESSNA
777-222,2,400,NULL,Fixed wing multi engine,Turbo-fan,BOEING
787-8,2,260,NULL,Fixed wing multi engine,Turbo-fan,BOEING
767-201,2,255,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-705,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
777-200,2,400,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-924ER,2,191,NULL,Fixed wing multi engine,Turbo-fan,BOEING
EMB-145,2,55,NULL,Fixed wing multi engine,Turbo-jet,EMBRAER
A340-313,4,375,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
737-732,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A319-114,2,145,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS INDUSTRIE
737-990,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
737-924,2,191,NULL,Fixed wing multi engine,Turbo-fan,BOEING
737-7BD,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A320-211,2,182,NULL,Fixed wing multi engine,Turbo-jet,AIRBUS INDUSTRIE
AT-5,1,2,NULL,Fixed wing single engine,4 Cycle,JOHN G HESS
737-3Q8,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
767-223,2,255,NULL,Fixed wing multi engine,Turbo-fan,BOEING
A320-212,2,182,NULL,Fixed wing multi engine,Turbo-fan,AIRBUS INDUSTRIE
737-3K2,2,149,NULL,Fixed wing multi engine,Turbo-jet,BOEING
G-IV,2,22,NULL,Fixed wing multi engine,Turbo-fan,GULFSTREAM AEROSPACE
737-3H4,2,149,NULL,Fixed wing multi engine,Turbo-fan,BOEING
S-76A,2,14,NULL,Rotorcraft,Turbo-shaft,SIKORSKY
PA-31-350,2,8,162,Fixed wing multi engine,Reciprocating,PIPER
767-323,2,330,NULL,Fixed wing multi engine,Turbo-fan,BOEING
310Q,2,6,167,Fixed wing multi engine,Reciprocating,CESSNA
